类目id,类目名,属性id,属性名,属性值id,属性值,......
50114004,类目名,15808110,区
,,2046925,裙长,29962,中裙,29963,长裙,29967,短裙,20213,其他
,,15808274,新旧程度,21456,全新,86252,9成新以上,86253,8成新以上,132933074,8成新以下
,,20086,款式,29942,裹胸,130207,挂脖,20858859,斜肩,100343,背带,20495,吊带,20213,其他
,,15808291,交易方式,60465429,线上交易,132933129,见面交易,132933130,见面线上均可
,,20664,风格,29339041,街头潮人,20213,其他,72160271,甜美优雅,91043051,气质通勤
